Memory_ghz_max,Memory_usage_max,state,vibrate,vibrateState
119060,0.074781,-2,0.001551196,0
119030,0.074897,-2,0.000280385,0
119020,0.074918,-2,0.001374836,0
119020,0.075021,-2,0.002052759,0
119000,0.075175,-2,0.000611906,0
118990,0.075221,-2,0.000810944,0
118980,0.075282,-2,0.001740124,0
118970,0.075413,-2,0.000145863,0
118960,0.075424,-2,0.000861795,0
119390,0.075489,-2,0.000331174,0
119090,0.075514,-2,0.000900495,0
118950,0.075582,-2,0.000687994,0
118940,0.075634,-2,0.000806516,0
118930,0.075695,-2,0.000937975,0
118920,0.075766,-2,0.000963493,0
118910,0.075839,-2,0.000777964,0
118900,0.075898,-2,0.001805054,0
118900,0.076035,-2,0.001117906,0
118880,0.07612,-2,0.00055176,0
118870,0.076162,-2,0.000236338,0
118860,0.07618,-2,0.001404568,0
118860,0.076287,-2,0.000498119,0
118850,0.076325,-2,0.001768752,0
118840,0.07646,-2,0.002249542,0
118820,0.076632,-2,0.004345443,1
119210,0.076965,-2,-0.000259858,0
118770,0.076945,-2,0.001559556,0
118760,0.077065,-2,0.000311425,0
118750,0.077089,-2,0.001310174,0
118740,0.07719,-2,0.000660707,0
118730,0.077241,-2,0.001191077,0
118720,0.077333,-2,0.000310346,0
118710,0.077357,-2,0.000749771,0
118710,0.077415,-2,0.002170122,0
118700,0.077583,-2,0.002371654,0
118680,0.077767,-2,0.000784394,0
118660,0.077828,-2,0.00066814,0
118650,0.07788,-2,0.001592193,0
118640,0.078004,-2,0.000653813,0
118620,0.078055,-2,0.001575812,0
119060,0.078178,-2,0.000332574,0
118600,0.078204,-2,0,0
118620,0.078204,-2,-0.00021738,0
118610,0.078187,-2,0.001240615,0
118600,0.078284,-2,0.000536508,0
118590,0.078326,-2,0.000612823,0
118590,0.078374,-2,8.93E-05,0
118580,0.078381,-2,0.000191373,0
118580,0.078396,-2,0.001071483,0
118570,0.07848,-2,0.001898573,0
118560,0.078629,-2,0.000190769,0
118540,0.078644,-2,0.000559483,0
118540,0.078688,-2,0.001181883,0
118540,0.078781,-2,0.001231261,0
118520,0.078878,-2,0.000253556,0
118920,0.078898,-2,-0.002154681,0
118540,0.078728,-2,0.001333706,0
118530,0.078833,-2,0.000456662,0
118520,0.078869,-2,0.001483473,0
118510,0.078986,-2,0.000645684,0
118500,0.079037,-2,8.86E-05,0
118500,0.079044,-2,0.00096149,0
118490,0.07912,-2,0.001200708,0
118480,0.079215,-2,0.001186644,0
118470,0.079309,-2,0.00116002,0
118460,0.079401,-2,0.003538998,1
118440,0.079682,-2,0.001405587,0
118410,0.079794,-2,0.000964985,0
118390,0.079871,-2,0.000951534,0
118380,0.079947,-2,0.006854541,2
118610,0.080495,-2,0.000248463,0
118310,0.080515,-2,-7.45E-05,0
118300,0.080509,-2,-0.000832205,0
118320,0.080442,-2,0.00047239,0
118310,0.08048,-2,0.001515905,0
